Nome: BELO HORIZONTE - CERCADINHO
Codigo Estacao: F501
Latitude: -19.97999999
Longitude: -43.95861111
Altitude: 1199.55
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-02-04;0;882.745833;14.6875;29.9;24.054167;19.8;56.875;37;7.9;2.6625;
2023-02-05;0;882.195833;15.045833;30.6;24.529167;19.7;56.458333;34;10.6;3.5625;
2023-02-06;0;881.445833;16.016667;29.5;23.441667;19.2;64.416667;42;9.1;3.520833;
2023-02-07;.6;881.420833;15.895833;29;21.104167;17.6;73.291667;45;15.4;5.091667;
2023-02-08;3.8;881.35;14.016667;27.6;20.916667;16.7;65.791667;41;13.9;3.995833;
2023-02-09;.2;882.129167;15;29.4;20.2125;16.4;73.583333;39;13.2;4.45;
2023-02-10;.2;881.9625;15.3625;29.1;20.920833;17.6;72.125;41;15.1;5.1;
2023-02-11;0;882.025;14.483333;29.8;22.404167;18.2;62.958333;32;11;4.491667;
2023-02-12;0;881.3625;16.004167;30.1;21.104167;18.9;74.333333;40;22;6.254167;
2023-02-13;26.4;881.5;16.0125;28.3;21.7;16.8;71.416667;49;23.4;3.975;
2023-02-14;14;880.970833;16.245833;30.1;22.341667;17;71;38;15.2;3.858333;
2023-02-15;45;879.779167;15.808333;29.5;22.283333;17.6;68.25;41;12.8;3.754167;
2023-02-16;70.2;878.375;15.258333;27.8;20.779167;16.7;72.125;43;22.6;4.220833;
2023-02-17;0;879.0875;15.729167;29.6;21.854167;18.2;69.666667;41;11;4.045833;
2023-02-18;4.6;880.816667;16.558333;27.1;21.2;18.3;75.5;51;12.7;4.220833;
2023-02-19;3;882.2;16.095833;27.2;21.804167;18.4;71.458333;48;13.4;5.383333;
2023-02-20;0;882.6375;14.9875;28.3;21.008333;17.6;70;43;14.3;5.495833;
2023-02-21;0;882.9625;14.8875;28.3;21.233333;16.6;68.833333;44;12.8;5.929167;
2023-02-22;0;884.125;14.925;29.1;22.325;17.9;64.708333;39;10.1;5.0875;
2023-02-23;0;884.2875;16.129167;28.5;21.775;17.9;71.291667;41;10.4;4.104167;
2023-02-24;0;882.633333;15.358333;27.7;22.154167;18.6;66.625;43;10.2;4.3375;
2023-02-25;0;882.133333;14.758333;29.6;22.4875;17.7;63.416667;38;10.3;4.279167;
2023-02-26;0;883.6375;15.6375;29.7;22.979167;18.7;64.708333;39;12.6;5.2625;
2023-02-27;0;884.6;14.520833;29.4;22.720833;18.6;60.875;40;9.6;5.020833;
2023-02-28;0;884.995833;14.366667;29.2;22.275;17.6;63.375;34;9.4;4.525;
2023-03-01;0;883.8625;13.825;29.3;22.7875;17.3;58.958333;32;13.1;5.370833;
2023-03-02;0;882.625;15.783333;30.2;21.979167;19.5;68.958333;37;14.4;4.325;
2023-03-03;20.2;882.358333;15.816667;28.2;22.3125;17.2;67.666667;45;10.9;5.7625;
2023-03-04;0;882.829167;13.754167;28.6;22.170833;16.8;60.333333;35;10.5;4.641667;
2023-03-05;0;881.1625;13.404167;29.7;23.058333;18.5;56.5;33;8.6;3.220833;
2023-03-06;0;880.266667;15.095833;28.1;22.595833;18.7;64.083333;39;11.4;4.5125;
2023-03-07;0;881.583333;15.5625;28.7;22.258333;18.3;66.875;44;14.5;5.691667;
2023-03-08;0;882.516667;15.833333;28.8;20.841667;18.1;74.291667;43;12.9;5.616667;
2023-03-09;0;883.104167;14.975;28.9;21.616667;17.8;67.583333;37;12;5.229167;
2023-03-10;0;882.629167;15.329167;28.4;22.283333;18.4;66.083333;39;12.5;5.708333;
2023-03-11;0;881.916667;14.904167;27.2;21.620833;17.7;66.166667;46;13.1;4.383333;
2023-03-12;76.2;882.3;15.9375;27;20.333333;16;77.166667;47;12;4.779167;
2023-03-13;.2;882.841667;15.8875;26.4;20.645833;17.7;74.75;52;11.5;5.404167;
2023-03-14;.4;882.95;15.5;24.9;20.245833;17.3;74.833333;54;12;6.291667;
2023-03-15;0;882.308333;14.941667;28.3;21.204167;16.8;69.416667;39;15.7;5.8375;
2023-03-16;2.8;881.7875;14.975;28.9;20.633333;16.6;72.041667;37;14.4;5.125;
2023-03-17;0;881.725;13.583333;28.2;21.016667;15.9;64.5;35;15.6;6.316667;
2023-03-18;0;882.370833;14.7;27.6;20.933333;16.7;69.125;44;14.8;5.808333;
2023-03-19;0;882.5375;15.433333;29.3;21;17.4;72.75;37;13.6;5.954167;
2023-03-20;3.6;882.670833;15.204167;28.7;21.6375;17.6;67.916667;41;10.8;4.454167;
2023-03-21;.2;883.175;14.370833;29.3;22.483333;18.5;61.833333;36;10.8;3.566667;
2023-03-22;0;884.404167;14.616667;28.7;22.1625;17.8;63.666667;38;11.6;5.166667;
2023-03-23;.2;884.633333;14.2;28.3;21.7625;17.5;63.833333;34;15;5.8125;
2023-03-24;0;883.704167;12.9;29.4;22.245833;17.2;58.291667;26;12.4;4.958333;
2023-03-25;0;882.929167;12.7375;30;23.05;18.3;54.5;28;9.9;4.316667;
2023-03-26;0;883.283333;12.825;30.6;23.420833;18.7;52.916667;29;10.6;4.308333;
2023-03-27;0;882.216667;14.554167;30;23.475;19.4;58.25;36;10;4.720833;
2023-03-28;0;882.825;16.0125;29.3;21.75;18.1;70.958333;39;15.4;6.258333;
2023-03-29;0;883.420833;15.529167;27.4;21.554167;18.3;70.208333;41;9.5;4.979167;
2023-03-30;0;883.8;11.316667;28.8;22.345833;18;51.125;30;9.1;4.216667;
2023-03-31;0;882.754167;8.708333;30;22.991667;17.7;42.708333;21;11.9;3.475;
2023-04-01;.6;880.683333;12.291667;29.1;23.179167;17.6;51.708333;32;15.3;4.033333;
2023-04-02;0;880.891667;14.358333;28.6;21.766667;17.9;63.458333;43;14.5;7.245833;
2023-04-03;0;882.0625;14.6;26.4;19.05;16.3;76.625;45;14.4;6.079167;
2023-04-04;3.2;881.725;13.529167;27.6;20.2875;16.1;68.541667;30;10.9;5.275;
2023-04-05;.2;881.129167;12.729167;27.5;20.654167;16;61.708333;33;12.7;4.925;
2023-04-06;0;881.279167;14.404167;28;21.291667;17.4;66.166667;41;10.9;5.283333;
2023-04-07;0;881.375;15.525;28.5;20.7875;17.6;73.5;41;12.4;4.745833;
2023-04-08;13.4;881.533333;16.15;27.3;21.108333;18;74.875;47;10.1;3.7125;
2023-04-09;13.8;882.658333;16.0125;25.9;19.2;16.9;82.416667;53;17.4;7.383333;
2023-04-10;3.4;883.491667;14.9;25.9;19.133333;15.8;77.416667;52;18.7;8.758333;
2023-04-11;.2;883.291667;14.320833;26;18.958333;15.2;75.416667;50;15.3;7.004167;
2023-04-12;0;882.3625;15.15;25.8;18.983333;16.4;79.208333;51;12.5;5.720833;
2023-04-13;12;880.5125;15.5375;26.7;20.720833;17.2;73.958333;47;9.6;4.170833;
2023-04-14;.2;880.579167;16.329167;27.3;21.058333;18.9;75.375;53;19;4.375;
2023-04-15;5.8;881.279167;15.479167;27;20.658333;17.2;73.791667;50;11.3;2.870833;
2023-04-16;.2;881.275;14.366667;27.4;19.7125;16.2;72.5;44;19.8;7.883333;
2023-04-17;10.2;878.679167;13.704167;27.4;20.816667;16.1;65.875;39;10.7;4.4625;
2023-04-18;0;876.470833;13.666667;27.9;23.404167;19;54.958333;39;13.4;3.15;
2023-04-19;.4;877.7;16.733333;23.6;20.3;18.9;80.416667;56;15;4.125;
2023-04-20;3.8;880.958333;11.229167;24.4;19.55;16.3;63.25;25;10.8;3.716667;
2023-04-21;0;882.741667;10.825;22.4;16.866667;13.2;68.375;41;20.6;8.929167;
2023-04-22;0;883.816667;12.608333;23.9;16.95;14.1;76.5;52;16.7;8.258333;
2023-04-23;.2;884.4;13.479167;23.5;17.341667;14.6;78.916667;55;13.3;5.745833;
2023-04-24;.2;884.9875;12.483333;24.7;17.770833;13.8;72.75;45;14.2;7.333333;
2023-04-25;0;885.15;12.6875;26.4;18.545833;13.8;70.125;42;12.9;5.620833;
2023-04-26;0;883.708333;14.266667;27.1;19.75;16.1;72.041667;43;11.4;4.425;
2023-04-27;0;881.604167;14.5875;25.9;20.945833;17.1;68.25;49;13.9;3.395833;
2023-04-28;11.2;882.058333;15.4125;27;21.125;17;70.833333;49;12.1;3.145833;
2023-04-29;18.8;883.133333;16.020833;25.2;19.016667;16.1;83.416667;61;15.9;6.65;
2023-04-30;.6;883.425;13.941667;25.9;18.691667;15.2;75.583333;43;16;5.783333;
2023-05-01;3;882.745833;13.016667;25.9;18.983333;15.4;70.625;39;14;5.379167;
2023-05-02;0;881.604167;9.316667;26.3;19.35;14.4;53.333333;31;14.5;4.6875;
2023-05-03;0;882.0875;11.770833;26.2;19.670833;15.6;62;31;9.4;4.741667;
2023-05-04;0;883.520833;12.9875;27.3;20.4;16.3;64.416667;34;10.8;4.970833;
2023-05-05;0;884.9625;13.233333;27.1;20.6125;16;65.041667;33;10.5;5.616667;
2023-05-06;0;884.770833;12.408333;26.2;19.670833;14.9;64.041667;41;11.6;5.404167;
2023-05-07;0;884.233333;12.329167;24.4;18.466667;14.7;68.541667;43;12.4;5.2625;
2023-05-08;0;884.483333;12.379167;24.8;18.554167;14.3;68.416667;46;9.1;4.633333;
2023-05-09;0;883.858333;12.7875;26;19.491667;15.4;67.083333;40;10.5;4.429167;
2023-05-10;0;882.795833;13.158333;25.6;19.3125;15.5;68.666667;43;9.1;3.8;
2023-05-11;0;880.645833;13.054167;26.6;20.5875;16.8;63.375;38;9;3.104167;
2023-05-12;0;881.341667;10.945833;25.3;20.191667;15.4;58.333333;33;9.8;3.525;
2023-05-13;0;882.4875;11.4375;25.7;18.666667;14.2;65.666667;32;11.1;4.975;
2023-05-14;.6;884.5375;11.5375;25.9;18.7375;13.8;66.833333;35;11.7;5.370833;
2023-05-15;.2;884.6125;11.725;25.1;19.245833;14.7;65.125;33;10.3;3.95;
2023-05-16;0;883.366667;6.120833;25.3;19.570833;14.5;44.375;18;9.8;3.845833;
2023-05-17;0;883.1875;6.658333;24.7;17.5625;11.8;50.416667;31;13.6;6.025;
2023-05-18;0;884.558333;7.7625;23.9;16.320833;11.6;58.791667;33;14.5;6.891667;
2023-05-19;0;884.429167;7.8875;22.8;15.629167;10.5;62;35;12.9;6.279167;
2023-05-20;0;884.166667;7.454167;22.2;15.3125;10;61.583333;34;12.8;6.458333;
2023-05-21;0;883.845833;7.954167;23;16.25;11.8;59.708333;33;12.1;6.3875;
2023-05-22;0;884.9125;9.770833;22.6;16.3875;13;66.583333;38;10;5.529167;
2023-05-23;0;885.683333;11.1125;22.4;15.7375;12.8;74.541667;53;13.8;6.2875;
2023-05-24;.2;885.304167;12.345833;21.7;16.025;13.2;79.375;60;14.1;6.4375;
2023-05-25;0;886.325;11.929167;23;17.254167;14.1;72.208333;50;13.7;5.883333;
2023-05-26;0;886.3;11.333333;22.9;16.479167;12.5;72.375;51;13.7;6.483333;
2023-05-27;0;885.2375;10.1;24.8;18.029167;13.1;62.75;30;16.4;5.520833;
2023-05-28;0;883.579167;10.05;25.3;19.091667;14.2;58.041667;31;10.8;4.125;
2023-05-29;0;883.229167;11.779167;23.6;17.85;15.5;68.416667;53;14.4;5.354167;
2023-05-30;0;885.270833;11.7375;22.5;16.525;13.6;74.166667;52;19.7;9.954167;
2023-05-31;0;885.2625;11.725;23.8;17.358333;13.5;71.25;44;12.8;5.166667;
2023-06-01;0;884.841667;11.820833;23.6;18.0375;15.2;68.666667;42;10.9;3.195833;
2023-06-02;0;884.541667;9.9125;24.1;17.1;12.9;64.166667;34;13.1;7.104167;
2023-06-03;0;885.579167;9.754167;22.6;16.366667;12.2;67.083333;37;15;6.479167;
2023-06-04;0;886.808333;8.1875;22.5;16.65;12.2;58.75;36;9;3.979167;
2023-06-05;.2;885.958333;8.4875;24;16.4875;11.5;62.583333;30;9.9;4.3125;
2023-06-06;.2;885.55;8.570833;21.7;15.291667;10.6;66.708333;39;11;5.666667;
2023-06-07;0;886.604167;6.8;22.6;15.629167;11;58.125;31;10.9;4.829167;
2023-06-08;0;886.645833;6.5625;23.6;16.570833;11.9;55.458333;21;12.7;5.475;
2023-06-09;0;885.995833;8.154167;24.5;17.829167;13;55.666667;31;11.1;4.3625;
2023-06-10;0;885.4125;8.883333;25.4;19.508333;14.9;52.541667;31;9.2;2.995833;
2023-06-11;0;884.6625;9.75;26.4;19.975;15.5;53.458333;32;8.4;2.65;
2023-06-12;0;884.579167;10.4;25.9;20.341667;15.7;55.875;29;8.5;3.779167;
2023-06-13;0;885.370833;12.370833;25.5;19.55;16.2;64.416667;39;10.6;6.025;
2023-06-14;0;885;12.179167;24.3;18.016667;14.7;69.291667;47;13.3;6.054167;
2023-06-15;0;884.720833;11.941667;24.4;18.1875;14.4;68;46;12.7;6.15;
2023-06-16;0;884.9625;12.558333;25.4;18.858333;14.5;68.166667;44;10.6;3.854167;
2023-06-17;5;885.145833;14.129167;20.7;17.316667;15;81.791667;68;9.5;2.85;
2023-06-18;.2;885.541667;12.2125;23.3;16.741667;13.1;76.958333;39;9.2;3.1375;
2023-06-19;.4;887.1625;10.341667;22.9;16.191667;11.9;70.833333;33;15.1;6.975;
2023-06-20;0;887.495833;8.333333;22;14.9875;11.2;65.916667;39;13.2;6.945833;
2023-06-21;0;886.4625;7.129167;21.2;14.6;10.4;62.333333;38;9.8;4.9375;
2023-06-22;0;886.033333;6.691667;22.4;14.920833;10.7;59.833333;33;9.2;4.4625;
2023-06-23;0;885.3125;7.675;21.4;14.683333;10;64.625;38;12.1;4.966667;
2023-06-24;0;885.529167;7.158333;22.5;16.120833;12;56.916667;31;7.8;3.333333;
2023-06-25;0;886.366667;9.870833;20.6;15.7125;13.4;68.875;42;8.8;3.704167;
2023-06-26;0;886.3875;9.875;24.9;17.345833;12.6;63.958333;33;10;4.933333;
2023-06-27;.2;886.5125;11.9625;23.9;17.4125;13.7;71.625;47;10.5;4.933333;
2023-06-28;0;886.358333;7.129167;25.4;17.995833;13.3;53.5;22;8.6;4.175;
2023-06-29;0;886.529167;6.808333;24.6;18.404167;13.3;48.5;27;12;4.570833;
2023-06-30;0;887.170833;8.3375;23.7;17.091667;12.3;58.458333;30;14.7;7.416667;
2023-07-01;0;885.866667;8.1875;22.8;16.320833;11;60.583333;34;12.7;5.041667;
2023-07-02;0;883.666667;6.075;23.7;17.466667;13.8;48.708333;27;12.3;3.570833;
2023-07-03;0;884.741667;6.791667;22.2;15.195833;9.9;59.416667;34;16.8;8.45;
2023-07-04;0;886.291667;5.670833;21.2;14.070833;8.9;59.291667;32;14.9;7.15;
2023-07-05;0;887.379167;5.633333;19.6;13.558333;9.4;59.916667;36;14.6;6.145833;
2023-07-06;0;885.995833;5.033333;21.2;13.766667;9.5;58.125;30;7.7;3.291667;
2023-07-07;0;884.529167;4.304167;22.7;15.8125;10.7;48.458333;28;7.8;2.575;
2023-07-08;0;883.020833;3.970833;24.4;18.475;13.7;39.708333;23;12.4;3.341667;
2023-07-09;0;883.866667;2.454167;26.4;20.958333;17.3;29.708333;21;9.1;2.441667;
2023-07-10;0;884.608333;8.033333;26.2;20.258333;16.2;46.083333;31;10.1;4.0375;
2023-07-11;0;883.8125;8.8875;28.2;21.354167;16.9;47.166667;25;8.5;2.4625;
2023-07-12;0;881.579167;8.3;28.6;22.045833;17.2;44.041667;21;8.4;2.933333;
2023-07-13;0;879.858333;7.779167;27.3;21.779167;16.7;42.375;25;14.2;3.466667;
2023-07-14;1.2;881.254167;8.454167;22.7;18.154167;14.5;54.75;33;20.2;5.9875;
2023-07-15;0;883.6;9.420833;21.1;14.491667;10.2;72.375;51;18;8.991667;
2023-07-16;0;884.704167;11.8375;24.5;16.925;12.8;74.166667;45;14.8;5.975;
2023-07-17;0;885.4625;11.5;27;20.358333;15.3;58.541667;33;6.5;2.125;
2023-07-18;0;887.05;10.5375;28.2;21.175;16.3;53.583333;27;7.5;3.0875;
2023-07-19;0;889.2625;12.3375;26;19.75;15.1;63.791667;42;12.9;6.941667;
2023-07-20;0;890.779167;11.966667;21.9;17.0125;14.7;73.041667;53;20.4;8.829167;
2023-07-21;.4;890.683333;11.266667;21.3;15.779167;13.3;76.041667;49;13.1;5.333333;
2023-07-22;.2;889.425;9.6875;22.9;15.5375;11.5;70.666667;41;12;5.508333;
2023-07-23;0;889.608333;10.0375;23.7;17.0375;12.7;64.25;44;13.6;6.8625;
2023-07-24;0;888.741667;12.166667;23.4;17.029167;14.6;74.25;45;14.1;6.154167;
2023-07-25;0;885.979167;9.65;25.9;18.170833;13;61.666667;26;13.2;5.8875;
2023-07-26;0;885.204167;11.304167;26.2;18.295833;14.2;66.833333;27;14.8;6.395833;
2023-07-27;0;886.479167;12.579167;24.5;17.979167;14.5;72.666667;44;13.4;7.1;
2023-07-28;0;887.025;10.354167;25.7;18.991667;14.4;59.458333;31;12.9;5.304167;
2023-07-29;0;885.866667;10.341667;26.2;19.220833;14.8;57.5;33;11.9;3.720833;
2023-07-30;0;887.1375;11.979167;24.6;17.508333;13.9;71.625;44;15.4;7.966667;
2023-07-31;.2;888.045833;10.854167;24.5;17.645833;13.1;67.458333;37;13.9;5.391667;
2023-08-01;0;887.433333;10.1625;25.2;17.758333;12.7;63.666667;34;10.6;5.383333;
2023-08-02;0;887.333333;8.620833;25;17.4625;11.6;58.5;23;11;4.070833;
2023-08-03;0;885.754167;6.5875;27;19.329167;13.2;48.291667;21;10.9;3.383333;
2023-08-04;0;884.770833;6.354167;27.3;20.4625;15.3;41.666667;21;10;4.291667;
2023-08-05;0;885.779167;6.216667;28.4;20.691667;15.7;40.625;19;10.9;5.208333;
2023-08-06;0;886.966667;7.458333;26.5;19.408333;14.5;48.791667;21;14;6.079167;
2023-08-07;0;887.154167;5.283333;26.8;19.058333;13.1;45.916667;18;13;4.1625;
2023-08-08;0;886.758333;5.141667;28.3;21.554167;17.2;35.5;22;16.7;4.370833;
2023-08-09;0;887.304167;11.595833;24.3;17.329167;14.1;70.208333;43;20.5;8.045833;
2023-08-10;.2;886.3;11.079167;25.8;18.0875;13.7;66.708333;35;13.1;6.266667;
2023-08-11;0;885.45;9.904167;27;19.070833;13.6;59.666667;28;11.2;4.520833;
2023-08-12;0;884.675;9.804167;29.4;21.4125;16;50.625;17;12.3;5.316667;
2023-08-13;0;884.95;12.116667;26.1;19;14.9;65.625;41;15.8;5.725;
2023-08-14;0;885.729167;11.354167;26.1;19.195833;14.6;61.916667;39;15.7;6.533333;
2023-08-15;0;886.1125;11.716667;23.9;18.341667;15.1;66.25;45;12;5.375;
2023-08-16;0;886.916667;11.425;23;17.504167;14.7;68.958333;45;12;5.370833;
2023-08-17;0;885.616667;11.2625;23.3;17.475;14.2;68.625;42;10.4;5.079167;
2023-08-18;0;882.141667;9.566667;27;18.808333;13.5;58.541667;27;9.4;3.4875;
2023-08-19;0;879.875;9.454167;28.4;21.245833;15;50.75;26;14.2;4.004167;
2023-08-20;0;879.95;9.620833;29.3;20.795833;18;50.041667;28;23.4;5.625;
2023-08-21;6;880.954167;11.079167;21.7;16.541667;13.7;71.208333;49;15.1;2.491667;
2023-08-22;0;881.183333;6.55;28.8;21.429167;14.5;41.625;11;8;2.270833;
2023-08-23;0;880.545833;4.558333;30.2;23.595833;17.4;32.083333;13;10.2;2.9625;
2023-08-24;0;880.145833;7.854167;31.9;24.866667;18.9;37.416667;18;12.3;2.991667;
2023-08-25;0;879.470833;8.183333;28.5;23.85;21.1;37.333333;22;8.1;2.85;
2023-08-26;0;879.4;10.641667;28.8;22.708333;19.2;48.291667;31;13.4;3.054167;
2023-08-27;4.8;881.854167;12.675;18.7;14.633333;12.9;88.166667;72;17.7;9.854167;
2023-08-28;.8;883.695833;12.725;20.3;15.395833;13;84.416667;66;16.5;7.725;
2023-08-29;.2;884.670833;13.720833;25.6;17.645833;14.4;79.333333;45;13.7;5.929167;
2023-08-30;6.8;882.829167;14.120833;25;19.333333;15.4;73.666667;49;10.6;3.875;
2023-08-31;0;883.508333;13.029167;27.9;20.95;16.2;61.541667;36;11.8;4.0625;
2023-09-01;.4;884.470833;13.5125;27.3;20.154167;16.2;67.458333;40;14.1;5.979167;
2023-09-02;0;884.570833;13.6375;27;19.941667;16.1;68.625;42;14.7;6.245833;
2023-09-03;0;884.116667;14.8875;28.5;19.741667;15.8;75.416667;43;13.3;5.254167;
2023-09-04;.6;883.85;14.770833;29.7;21.033333;16.5;71.125;32;12.8;5.3375;
2023-09-05;0;884.858333;14.795833;30.7;21.183333;16.5;69.916667;31;17.3;5.716667;
2023-09-06;7.4;886.5875;15.270833;22.9;18.329167;17.2;82.791667;67;16.8;6.895833;
2023-09-07;0;887.329167;11.7;25;18.3875;15.1;67.583333;37;14.7;6.358333;
2023-09-08;0;885.808333;9.254167;26.4;18.854167;13.8;57.5;27;12.7;5.720833;
2023-09-09;0;885.4625;7.675;27.7;19.529167;13.6;48.833333;26;11.6;5.983333;
2023-09-10;0;885.304167;9.054167;26.9;19.454167;14.9;52.875;29;15.5;7.1375;
2023-09-11;0;885.2625;8.341667;25.9;18.858333;14.1;51.791667;33;15;6.504167;
2023-09-12;0;884.929167;8.108333;27.8;20.1625;14.2;48.916667;21;12.3;5.233333;
2023-09-13;0;882.8625;11.083333;30.2;21.3375;15.3;56.458333;22;15.7;6.295833;
2023-09-14;0;881.791667;11.233333;31.5;22.729167;16.5;53.75;23;27.1;5.254167;
2023-09-15;0;883.15;12.4;28;20.95;17.7;59.416667;35;22.1;5.379167;
2023-09-16;0;884.3125;14.133333;29.6;21.1875;16.9;67.416667;30;17;6.125;
2023-09-17;0;884.870833;13.083333;30;21.804167;16.6;61.416667;30;14.8;7.058333;
2023-09-18;0;884.75;10.891667;29.8;22.029167;16.8;52.625;22;14.7;5.666667;
2023-09-19;0;883.341667;11.0875;31.2;22.504167;16.8;52.666667;18;15.2;6.445833;
2023-09-20;0;883.558333;12.233333;29.3;21.291667;16.3;59.416667;29;15.8;7.691667;
2023-09-21;0;883.4;10.4625;27.7;20.366667;15.4;56;28;15.7;6.4875;
2023-09-22;0;882.320833;9.725;29.3;21.3125;15.2;49.708333;28;15.4;5.829167;
2023-09-23;0;881.291667;10.266667;32.1;23.8625;18.6;44.458333;24;10.1;3.941667;
2023-09-24;0;880.475;10.266667;33.9;26.429167;20.8;38.916667;14;11.1;4.5125;
2023-09-25;0;880.179167;10.695833;35.6;28.095833;22.4;37.333333;14;11.4;4.166667;
2023-09-26;0;879.3375;9.254167;34.2;27.354167;23.2;33.208333;21;13.3;5.416667;
2023-09-27;0;878.658333;13.991667;30.2;25.016667;22.4;51.291667;27;14.9;4.141667;
2023-09-28;4.4;879.929167;14.45;32.2;23.591667;18.8;60.333333;30;22;4.504167;
2023-09-29;12;883.345833;14.154167;25.8;18.283333;15;77.833333;53;21.2;8.458333;
2023-09-30;0;883.154167;14.066667;27.7;20.104167;15.9;70.875;41;15.8;6.395833;
2023-10-01;0;881.333333;14.670833;21.2;17.145833;15.8;85.458333;68;14.2;6.495833;
2023-10-02;24.6;879.8;15.875;26.4;20.429167;16.9;76.666667;51;13;3.216667;
2023-10-03;4.6;879.504167;15.995833;29.7;22.754167;18.5;67.875;38;11.8;2.766667;
2023-10-04;0;879.175;15.8375;31.8;24.420833;19.1;61.625;31;9.2;3.570833;
2023-10-05;.6;879.504167;15.691667;31;25.191667;21.2;56.708333;37;10.4;3.220833;
2023-10-06;23.2;882.279167;16.45;30;23.275;18.3;67.708333;32;16.9;4.008333;
2023-10-07;0;882.833333;15.5875;32.1;24.629167;19.1;61.208333;28;12.4;3.883333;
2023-10-08;0;882.416667;14.35;31.9;24.345833;20.4;55.333333;30;11.1;5.391667;
2023-10-09;0;882.529167;14.825;27.5;22.65;18.7;62.666667;44;11.1;3.8625;
2023-10-10;0;882.995833;16.191667;30.5;23.595833;19.4;64.5;41;14.5;6.4625;
2023-10-11;0;882.958333;15.404167;30.5;23.1375;18.5;64.25;36;14.4;5.4375;
2023-10-12;0;880.55;13.295833;32.1;24.291667;18.3;53.291667;30;10.7;4.245833;
2023-10-13;0;881.720833;14.095833;31.8;23.8125;17.9;57.416667;27;17.9;5.345833;
2023-10-14;0;884.075;16.795833;28.2;21.966667;19;73.333333;52;16.4;7.558333;
2023-10-15;0;886.054167;15.604167;26.8;20.279167;17.8;75.541667;49;13.9;6.975;
2023-10-16;0;884.895833;14.35;30;22.258333;17.4;63.833333;33;12.6;5.358333;
2023-10-17;0;883.4125;12.295833;30.6;23.629167;18;51.666667;27;12.1;4.454167;
2023-10-18;0;882.595833;13.3375;31;23.141667;18.3;55.875;30;15.3;5.304167;
2023-10-19;4.8;882.7125;16.2875;28;21.266667;17.7;74.625;45;19.1;8.316667;
2023-10-20;9.4;882.933333;16.4375;27.3;20.095833;17.4;80.5;49;14.6;6.075;
2023-10-21;3;883.1;15.875;24.6;19.283333;16.8;81.291667;60;16.8;7.5375;
2023-10-22;.2;883.2875;13.833333;28.4;20.879167;16.4;67.708333;32;16.8;5.45;
2023-10-23;0;881.983333;12.325;29.7;22.195833;15.8;59;20;14.1;5.729167;
2023-10-24;0;879.270833;10.891667;32.3;24.895833;18.2;45.083333;22;13.8;4.3625;
2023-10-25;0;877.225;13.754167;30.7;24.3375;19.4;53.708333;29;15.9;3.5625;
2023-10-26;7.4;876.841667;16.041667;29.9;22.854167;18.7;67.25;39;11.1;3.1;
2023-10-27;7.2;879.158333;16.791667;28.8;21.495833;18;76.166667;46;12.9;2.908333;
2023-10-28;1.6;880.795833;17.233333;27.8;22.183333;18.6;74.708333;49;11.6;3.4125;
2023-10-29;.2;880.429167;16.9625;31.5;23.625;19.7;68.541667;36;15.8;3.891667;
2023-10-30;49.2;880.429167;17.358333;30;22.85;18.2;73.916667;39;14.7;4.170833;
2023-10-31;0;879.2125;16.429167;30.1;22.0125;19;72.625;41;16.9;5.295833;
2023-11-01;6.8;878.9625;15.904167;28.8;21.758333;17.7;71.375;41;17.6;4.970833;
2023-11-02;0;879.254167;17.383333;29;21.6375;18.2;78.041667;50;16.8;7.483333;
2023-11-03;9.8;879.358333;17.970833;27.6;22.0375;19.3;78.833333;57;9.5;3.166667;
2023-11-04;6.4;878.483333;16.8625;27.1;21.65;17.6;75.291667;52;15.3;3.733333;
2023-11-05;0;879.6125;12.733333;30.5;23.475;17.7;54.625;15;14.6;5.054167;
2023-11-06;0;882.183333;12.5875;28.9;20.85;15.1;60.25;37;17.4;8.570833;
2023-11-07;0;883.383333;10.966667;28.6;20.566667;15;56.416667;24;16.3;7.804167;
2023-11-08;0;883.9375;10.416667;27.6;20.229167;14.4;55.875;30;12.8;5.05;
2023-11-09;0;882.641667;7.520833;30.4;22.720833;15.8;43.416667;14;11.5;4.275;
2023-11-10;0;882.470833;8.8;32.3;24.825;19.2;37.333333;21;11;4.291667;
2023-11-11;0;881.358333;6.9375;32;25.95;20.2;31.333333;18;10.1;3.979167;
2023-11-12;0;880.4375;8.908333;34.1;27.541667;22.2;32.958333;16;7.9;3.1125;
2023-11-13;0;880.179167;10.391667;35.2;28.2875;23.1;34.166667;19;10.9;4.916667;
2023-11-14;0;879.670833;11.175;35.2;28.745833;23.5;34.75;20;10.1;4.45;
